"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012023";"200350";"SUPERINTENDENCIA REG DE POLICIA FEDERAL EM MG";"2";"Tomada de Preços";"08350009167202372";"Objeto: Contratação de EMPRESA DE ENGENHARIA OU ARQUITETURA PARA ATUALIZAÇÃO DO PROJETO  DA CONSTRUÇÃO DA NOVA DELEGACIA DE POLÍCIA FEDERAL DE JUIZ DE FORA., em terreno localizado na rua Benjamin Guimarães, 45 - Democrata, Juiz de Fora - MG, 36035-200 , conforme condições, quantidades e exigências estabelecidas no edital e seus anexos.";"Evento de Resultado de Julgame";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"MG";"BELO HORIZONTE";"03/04/2024";"";"196266,5800"
"000022023";"160086";"GABINETE DO COMANDANTE DO EXERCITO";"-99";"Pregão - Registro de Preço";"64536026417202331";"Objeto: Pregão Eletrônico - Aquisição de material permanente para o Gabinete do Comandante do Exército (Gab Cmt Ex).";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"DF";"BRASILIA";"04/04/2024";"24/01/2024";"0,00"
"000022023";"160088";"HOSPITAL MILITAR DE AREA DE BRASILIA";"5";"Pregão";"64576040954202237";"Objeto: Pregão Eletrônico - Contratação de empresa especializada para fornecimento de oxigênio líquido, locação de tanque criogênico para Oxigênio líquido, locação de Sistema de Ar Comprimido Medicinal e Sistema de Vácuo medicinal, com compressores, incluindo o transporte e instalações dos equipamentos, adequação e conexão com a rede de dutos existentes no local, manutenções corretivas e preventivas com reposições de peças dos equipamentos, de forma ininterrupta, conforme Edital e anexos.";"Evento de Suspensão Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"DF";"BRASILIA";"03/04/2024";"08/01/2024";"256747,1600"
"000022023";"160364";"COMANDO 3 BRIGADA DE CAVALARIA MECANIZADA";"-99";"Pregão - Registro de Preço";"64289006642202311";"Objeto: Pregão Eletrônico - Contratação de serviço de telefonia fixa digital com fornecimento de Tronco E1, 10 canais (dez conversações simultâneas) e blocos para discagem direta para ramal (DDR), serviço com chamadas para fixo e móvel, ambos para local e longa distância nacional (LDN) ilimitadas a ser executado de forma contínua, em proveito do Comando da 3ª Bda C Mec.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RS";"BAGE";"03/04/2024";"12/03/2024";"0,00"
"000022023";"782311";"DELEG.CAPITANIA PORTOS EM ILHEUS";"-99";"Pregão - Registro de Preço";"63122001470202329";"Objeto: Pregão Eletrônico - Tem por objeto o registro de preços para a eventual aquisição de Gasolina comum tipo C, Óleo Diesel S10 e Óleo Diesel S500";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"BA";"ILHEUS";"04/04/2024";"16/10/2023";"0,00"
"000032023";"160474";"4 BATALHAO DE INFANTARIA LEVE";"-99";"Pregão - Registro de Preço";"64081001732202341";"Objeto: Pregão Eletrônico - Aquisição de material de manobra e patrulhamento para o 4º Batalhão de Infantaria Leve, nos termos da tabela abaixo, conforme condições e exigências estabelecidas no Termo de Referência";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"SP";"OSASCO";"02/04/2024";"24/01/2024";"0,00"
"000032023";"200121";"SUPERINTENDENCIA DA PRF EM GOIAS";"3";"Concorrência";"08662008537202331";"Objeto: Contratação de empresa especializada de engenharia ou arquitetura para execução da obra de construção da sede administrativa da 2.ª Delegacia da Superintendência da Polícia Rodoviária Federal em Goiás (SPRF-GO), no km 86 da rodovia BR 060, no município de Anápolis - GO, conforme condições e exigências estabelecidas no edital e seus anexos.";"Publicado";"30000";"Ministério da Justiça e Segurança Pública";"30802";"Polícia Rodoviária Federal";"GO";"GOIANIA";"01/04/2024";"";"1783446,9400"
"000032023";"783800";"BASE NAVAL DE NATAL";"2";"Tomada de Preços";"63033.002078/2023";"Objeto: Contratação de execução de obra de retaludamento e estabilização da encosta, incluindo todos os estudos, projetos e serviços necessários para conclusão do objeto.";"Evento de Alteração Publicad";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RN";"NATAL";"03/04/2024";"";"493661,7600"
"000042023";"160116";"17º BATALHAO LOGISTICO LEVE-MONTANHA";"-99";"Pregão - Registro de Preço";"64135000061202329";"Objeto: Pregão Eletrônico - Contratação de Serviço de Manutenção de Viaturas Especializadas e Equipamentos diversos, visando atender às necessidades das OM apoiadas, no âmbito da 4ª Bda Inf L Mth e 4ª RM";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"MG";"JUIZ DE FORA";"04/04/2024";"19/02/2024";"0,00"
"000042023";"160267";"2 BATALHAO DE INFANTARIA MOTORIZADO (ES)";"-99";"Pregão - Registro de Preço";"64109004170202332";"Objeto: Pregão Eletrônico - Aquisição de instrumentos musicais.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"05/04/2024";"07/03/2024";"0,00"
