"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012023";"152805";"INST.FED.DE ALAGOAS/CAMPUS ARAPIRACA";"-99";"Pregão - Registro de Preço";"23041025571202371";"Objeto: Pregão Eletrônico - O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de materiais médico odontológico.";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26402";"Instituto Federal de Alagoas";"AL";"ARAPIRACA";"12/03/2024";"23/11/2023";"42,9000"
"000012023";"158374";"INST.FED.DO RN/CAMPUS PAU DOS FERROS";"5";"Pregão";"23093000710202348";"Objeto: Pregão Eletrônico - Concessão de uso, mediante locação de área física localizada no IFRN Campus pau dos Ferros, para a exploração de  atividade comercial de lanchonete balcão e autosserviço.";"Evento de Adiamento Publicado";"26000";"Ministério da Educação";"26435";"Instituto Federal do Rio Grande do Norte";"RN";"PAU DOS FERROS";"13/03/2024";"24/01/2024";"153,2300"
"000012023";"160050";"HOSPITAL GERAL DE FORTALEZA";"3";"Concorrência";"64579005905202228";"Objeto: Escolha da proposta mais vantajosa para a contratação de empresa para execução da obra de construção do centro cirúrgico/UTI temporária e reforma das clínicas médicas/cobertura do Hospital Geral de Fortaleza, em Fortaleza-CE, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"CE";"FORTALEZA";"12/03/2024";"";"10313296,8000"
"000012023";"160213";"5 BATALHAO LOGISTICO";"-99";"Pregão - Registro de Preço";"64128002581202365";"Objeto: Pregão Eletrônico - Eventual contratação de serviço de manutenção preventiva e corretiva do Posto de Abastecimento, Lavagem e Lubrificação (PALL)";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"PR";"CURITIBA";"26/03/2024";"08/02/2024";"0,00"
"000012023";"160438";"COMANDO 2 BRIGADA DE CAVALARIA MECANIZADA";"-99";"Pregão - Registro de Preço";"64280006106202303";"Objeto: Pregão Eletrônico - Aquisição de Gêneros Alimentícios para o Comando da 2ª Brigada de Cavalaria Mecanizada e OM's participantes do GCALC.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RS";"URUGUAIANA";"15/03/2024";"30/11/2023";"0,00"
"000012023";"200360";"SUPERINTENDENCIA REGIONAL NO ESTADO DE SP";"3";"Concorrência";"08505.011022/2022";"Objeto: Proposta mais vantajosa, que consiste na melhor técnica de atendimento ao público demandante de passaporte, sem ônus para a Administração, para a instalação e o funcionamento de Postos de Emissão de Passaportes da Polícia Federal (PEPs) em Shopping Centers localizados nos seguintes municípios da Grande São Paulo/SP: Osasco, Barueri e Santana de Parnaíba;";"Publicado";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"SP";"SAO PAULO";"27/03/2024";"";"0,00"
"000012023";"250028";"SUPERINTENDENCIA ESTADUAL DO MS/PR";"5";"Pregão";"25023000106202290";"Objeto: Pregão Eletrônico - Contratação de empresa especializada para substituição das janelas, lavagem e pintura externa, a ser executada no prédio sede da Superintendência do Ministério da Saúde no Paraná, incluindo o fornecimento de mão de obra, materiais, ferramentas e equipamentos necessários. O edifício localiza-se na Rua Cândido Lopes, 208, Curitiba/PR, conforme condições, quantidades e exigências estabelecidas em Edital e seus anexos.";"Publicado";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo";"PR";"CURITIBA";"04/03/2024";"12/01/2024";"1782086,4400"
"000012023";"254462";"COORDENACAO GERAL DE INFRAESTRUTURA DOS CAMPI";"3";"Concorrência";"25389000134202349";"Objeto: Contratação de Execução de Obra de Reforma das Fachadas, Coberturas e Urbanização do Pavilhão Ernani Braga localizado no Campus de Manguinhos da Fiocruz, Rio de Janeiro  RJ.";"Publicado";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"RJ";"RIO DE JANEIRO";"18/03/2024";"";"0,00"
"000012023";"740015";"BASE NAVAL DA ILHA DAS COBRAS";"-99";"Pregão - Registro de Preço";"63031002440202359";"Objeto: Pregão Eletrônico - Aquisição de mobiliário";"Evento de Suspensão Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RJ";"RIO DE JANEIRO";"08/03/2024";"29/11/2023";"0,00"
"000012023";"772100";"CENTRO DE INST. E ADEST. ALM. NEWTON BRAGA";"-99";"Pregão - Registro de Preço";"63487000421202330";"Objeto: Pregão Eletrônico - Registro de preço para aquisição de materiais de expediente e limpeza.";"Evento de Adiamento Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RJ";"RIO DE JANEIRO";"26/03/2024";"18/12/2023";"0,00"
