"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012022";"925137";"BANCO CENTRAL DO BRASIL - SALVADOR";"6";"Dispensa de Licitação";"204990";"Objeto: Aquisição de 600 Lâmpadas LED tubular T5 com 55cm de comprimento, base G5, Branco frio 6500 K, 9W com drive interno";"Encerrado";"20101";"Sem informação";"25201";"BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL";"-3";"Inválido";"19/04/2023";"10/02/2022";"12618,0000"
"000012022";"926091";"CONSELHO REGIONAL DE NUTRICIONISTAS-8ª - PR";"6";"Dispensa de Licitação";"80812000033202258";"Objeto: Equipamentos HDs (Hard Disk), sendo:  * 2 (dois) HDs internos para NAS. 4 TB. SATA de 6 Gb/s. Cache: 64MB. Velocidade de rotação mínima: 5.900 rpm; * 1 (um) HD externo. 2 TB. USB 3.0. Compatível com a maioria dos sistemas Windows e MacOS. * 1 (um) HD externo. 1 TB. USB 3.0. Compatível com a maioria dos sistemas Windows e MacOS.";"Encerrado";"38000";"Sem informação";"38989";"CONSELHO REGIONAL DE NUTRICIONISTAS 8A - PR";"-3";"Inválido";"27/04/2023";"13/06/2022";"2066,9800"
"000012022";"160085";"ESTADO-MAIOR DO EXERCITO";"2";"Tomada de Preços";"64535061571202289";"Objeto: O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de estudos e serviços técnicos especializados, em quatro linhas de pesquisa, em benefício do Núcleo de Estudos Prospectivos (NEP) do Centro de Estudos Estratégicos do Exército (CEEEx), conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"DF";"BRASILIA";"24/04/2023";"";"162745,8000"
"000012022";"160238";"BASE DE APOIO LOGISTICO DO EXERCITO";"-99";"Pregão - Registro de Preço";"65261001081202253";"Objeto: Pregão Eletrônico - Aquisição de ferramentas automotivas.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"25/04/2023";"06/03/2023";"40020,2400"
"000012022";"160277";"31 GRUPO DE ARTILHARIA DE CAMPANHA (ES)";"5";"Pregão";"64562004338202185";"Objeto: Pregão Eletrônico - Cessão de Uso para funcionamento de uma cantina para o 31º GAC (Es). Processo nº 64562.004338/2021-85.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"13/04/2023";"03/03/2023";"44,9000"
"000012022";"200374";"SUPERINTENDENCIA REGIONAL NO ESTADO DO MT";"20";"Concurso";"08320002963202251";"Objeto: Seleção e cadastro de Empresa de Serviço de Conservação de Energia (ESCO - Energy Service Company) ou Empresa de Engenharia habilitada para celebrar, através de licitação na modalidade CONCURSO, termo de compromisso com a Superintendência Regional da Polícia Federal em Mato Grosso, a fim de representá-la em Chamadas Públicas de Projetos (CPP), junto à concessionária de energia elétrica local - ENERGISA, principalmente nos Programas de Eficiência Energética (PEE).";"Evento de Alteração de Resul";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"MT";"CUIABA";"28/04/2023";"";"0,00"
"000012022";"540004";"SUBSECRETARIA DE ADMINISTRACAO - SAD";"3";"Concorrência";"72031011712202131";"Objeto: O objeto da presente concorrência é a contratação de empresa prestadora de serviços de comunicação corporativa, observando-se as condições estabelecidas no Edital e seus Anexos.";"Evento de Alteração de Resul";"54000";"Ministério do Turismo";"54000";"Ministério do Turismo - Unidades com víncul";"DF";"BRASILIA";"12/04/2023";"";"15000000,0000"
"000012022";"789322";"DELEGACIA FLUVIAL DE GUAIRA";"6";"Dispensa de Licitação";"63349001955202287";"Objeto: Locação de equipamentos de impressão monocromáticos, nos formatos A4, para utilização da CONTRATANTE nas dependências de sua Delegacia nesta cidade de Guaíra.";"Encerrado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"PR";"GUAIRA";"19/04/2023";"";"12619,8000"
"000012023";"926810";"CONSELHO REGIONAL DE CONTABILIDADE - MA";"5";"Pregão";"2023/000029";"Objeto: Pregão Eletrônico - Contratação de serviços de emissão de bilhetes eletrônicos de passagens aéreas nacionais e internacionais para a administração do Conselho Regional de Contabilidade do Maranhão, compreendendo a assessoria, cotação, reserva, emissão, cancelamento e reembolso de passagens aéreas, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Divulgado";"38500";"CONSELHO FEDERAL DE CONTABILIDADE";"38508";"CONSELHO REGIONAL DE CONTABILIDADE-MA";"-3";"Inválido";"11/04/2023";"31/03/2023";"1536,0000"
"000012023";"925138";"BANCO CENTRAL DO BRASIL - SÃO PAULO";"6";"Dispensa de Licitação";"232084";"Objeto: Fornecimento e Instalação de 1 (um) motor DF (deslizante de fuso), com potência mínima de 1/2 de CV, (Referência  PPA, ou motor conjugado com acoplamento redutor), para acionamento em portão deslizante de aço, de 2 folhas, com 4,50 metros de percurso total, acoplados por cabo de aço, incluindo placa inversora compatível, instalação, configuração e materiais diversos necessários para a instalação, conforme especificação detalhada no Termo de Referência.";"Encerrado";"20101";"Sem informação";"25201";"BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL";"-3";"Inválido";"27/04/2023";"";"12000,0000"
