"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012019";"153161";"FORUM DE CIENCIA E CULTURA DA UFRJ";"-99";"Pregão - Registro de Preço";"23079013193201979";"Objeto: Pregão Eletrônico - Registro de preços de materiais de informática e softwares para atendimento do Fórum de Ciência e Cultura e de suas unidades.";"Publicado";"26000";"Ministério da Educação";"26245";"Universidade Federal do Rio de Janeiro";"RJ";"RIO DE JANEIRO";"04/07/2023";"24/06/2019";"0,00"
"000012022";"343010";"SUPERINTENDENCIA DO IPHAN NO PARANA, IPHAN-PR";"7";"Inexigibilidade de Licitação";"01508.000518/2022";"Objeto: Prestação de serviços de fornecimento de água, coleta e tratamento de esgoto sanitário para o IPHAN/PR.";"Publicado";"42000";"Ministério da Cultura";"20411";"Instituto do Patrimônio Histórico e Artíst";"PR";"CURITIBA";"14/07/2023";"";"5825,2700"
"000012022";"783702";"HOSPITAL NAVAL DE RECIFE";"7";"Inexigibilidade de Licitação";"63066001838202190";"Objeto: Contratação de produtos e serviços, por meio de Pacote de Serviço dos Correios.";"Encerrado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"PE";"RECIFE";"05/07/2023";"";"1200,0000"
"000012023";"110402";"ESCOLA SUPERIOR DE GUERRA";"5";"Pregão";"60631003378202284";"Objeto: Pregão Eletrônico - Aquisição de utensílio para o Rancho para uso na Escola Superior de Guerra, Rio de Janeiro.";"Publicado";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo";"RJ";"RIO DE JANEIRO";"06/07/2023";"23/03/2023";"0,00"
"000012023";"113207";"COMISSAO NACIONAL DE ENERGIA NUCLEAR-CRCN-CO";"5";"Pregão";"01203000127202229";"Objeto: Pregão Eletrônico - Contratação de serviços continuados de limpeza, conservação, higienização e asseio, com dedicação exclusiva de mão de obra e fornecimento de todos os materiais, utensílios e equipamentos necessários, a serem executados nas instalações físicas do CRCN-CO, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.";"Publicado";"24000";"Ministério da Ciência, Tecnologia e Inovaç";"20301";"Comissão Nacional de Energia Nuclear";"GO";"ABADIA DE GOIAS";"27/07/2023";"26/07/2023";"483000,0000"
"000012023";"114603";"SUPERINTENDENCIA ESTADUAL DO IBGE ACRE";"6";"Dispensa de Licitação";"00231180164202233";"Objeto: Contratação de serviços de instalação, desinstalação e manutenção de aparelhos de refrigeração (condicionadores de ar, geladeiras, bebedouros, dentre outros) para atender as necessidades da Fundação Instituto Brasileiro de Geografia e Estatística SES/AC , Superintendência do IBGE no Acre e suas filiais , incluindo o fornecimento de peças e acessórios";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"AC";"RIO BRANCO";"05/07/2023";"";"55968,0000"
"000012023";"114606";"SUPERINTENDENCIA ESTADUAL DO IBGE NO PARA";"7";"Inexigibilidade de Licitação";"03615000163202357";"Objeto: Comunicação por correio / contratação de prestação de serviços de postagem de carta simples, comerciais, registradas (com ou sem aviso de recebimento), telegrama.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"PA";"BELEM";"05/07/2023";"";"50400,0000"
"000012023";"114610";"SUPERINTENDENCIA ESTADUAL DO IBGE NO CEARA";"5";"Pregão";"03623000187202315";"Objeto: Pregão Eletrônico - Contratação de empresa especializada para prestação de serviços de gerenciamento do abastecimento, através do emprego de sistema informatizado e integrado com utilização de cartões magnéticos com senha, que permita o fornecimento de combustível através de rede de postos credenciados, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"CE";"FORTALEZA";"07/07/2023";"07/06/2023";"0,00"
"000012023";"114616";"SUPERINTENDENCIA ESTADUAL DO IBGE EM SERGIPE";"5";"Pregão";"03628.087/2331";"Objeto: Pregão Eletrônico - Contratação de serviços de recepção a serem prestados na sede da Unidade Estadual do IBGE em Sergipe, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"SE";"ARACAJU";"12/07/2023";"26/06/2023";"60000,0000"
"000012023";"130093";"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/RR";"7";"Inexigibilidade de Licitação";"21048000106202331";"Objeto: O presente CONTRATO tem como objeto regular a compra e venda de energia elétrica entre o CONSUMIDOR e a DISTRIBUIDORA, para uso exclusivo na UNIDADE consumidora.";"Encerrado";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"RR";"BOA VISTA";"21/07/2023";"";"125389,8000"
